,Fuel,Driven,Automatic,Owner,Location,Price,Brand,Years
184,Diesel,65000.0,Manual,2,KE,649000,Volkswagen,4
185,Diesel,81200.0,Manual,2,RJ,600000,Mahindra,10
186,CNG & HYBRIDS,70000.0,Manual,2,MH,321000,Hyundai,9
187,Diesel,30000.0,Automatic,1,UP,320000,Tata,3
188,Petrol,90000.0,Manual,3,KR,375000,Toyota,13
189,CNG & HYBRIDS,24000.0,Manual,1,DL,465000,Maruti,3
190,Diesel,42000.0,Manual,1,OD,450000,Hyundai,4
191,Diesel,48000.0,Automatic,1,DL,1399000,Jaguar,9
192,Petrol,83000.0,Manual,1,HR,190000,Maruti,12
193,Petrol,50000.0,Manual,2,KE,178000,Maruti,10
194,Diesel,19000.0,Manual,1,HR,850000,Hyundai,10
195,Petrol,75000.0,Manual,0,MP,95000,Maruti,8
196,CNG & HYBRIDS,80000.0,Manual,2,HR,150000,Hyundai,11
197,Petrol,80000.0,Manual,0,AP,77000,Maruti,20
198,Diesel,100000.0,Manual,2,TN,275000,Renault,9
199,Petrol,111200.0,Manual,2,MH,299000,Volkswagen,11
200,Petrol,50000.0,Manual,2,KE,178000,Maruti,10
201,Diesel,118000.0,Manual,1,AP,1800000,Toyota,3
202,Petrol,25055.0,Manual,1,UP,643275,Maruti,2
203,Diesel,58000.0,Automatic,1,DL,625000,Mahindra,6
204,Petrol,25000.0,Automatic,1,MH,425000,Maruti,6
205,Petrol,90000.0,Manual,1,HY,110000,Honda,18
206,Diesel,50000.0,Automatic,1,DL,1475000,Mahindra,4
207,Petrol,39000.0,Manual,3,MP,180000,Chevrolet,12
208,Petrol,93000.0,Manual,2,RJ,390000,Hyundai,9
209,Diesel,240000.0,Manual,2,AP,520000,Force,9
210,Diesel,100000.0,Manual,2,AP,350000,Hyundai,6
211,Diesel,80000.0,Manual,1,JH,420000,Mahindra,8
212,Petrol,50000.0,Manual,2,KE,178000,Maruti,10
213,Diesel,72000.0,Manual,1,PJ,490000,Honda,8
214,Diesel,22000.0,Automatic,1,UP,2260000,Tata,1
215,Petrol,30500.0,Manual,2,KR,550000,Ford,3
216,Diesel,70000.0,Manual,3,PJ,190000,Ford,16
217,Diesel,78000.0,Automatic,2,DL,1499000,Audi,5
218,Petrol,45630.0,Automatic,2,KE,775000,Volkswagen,6
219,Petrol,60000.0,Automatic,2,RJ,150000,Maruti,9
220,Diesel,150000.0,Manual,2,TE,75000,Tata,11
221,Diesel,80000.0,Manual,1,DL,1525000,Toyota,7
222,Diesel,95000.0,Manual,1,PJ,640000,Hyundai,5
223,Diesel,83025.0,Manual,2,MH,345000,Hyundai,11
224,CNG,180000.0,Manual,1,MH,320000,Maruti,4
225,Diesel,50000.0,Manual,1,UP,435000,Maruti,6
226,Petrol,5500.0,Automatic,1,HR,1200000,Hyundai,3
227,Diesel,100000.0,Manual,3,KR,385000,Mahindra,12
228,Petrol,23214.0,Manual,1,AS,215000,Hyundai,10
229,CNG & HYBRIDS,85000.0,Manual,4,HR,340000,Honda,6
230,Diesel,82000.0,Manual,2,TN,405000,Mahindra,12
231,CNG & HYBRIDS,64000.0,Manual,2,GU,111000,Chevrolet,11
232,Petrol,79000.0,Automatic,3,UP,160000,Hyundai,10
233,Diesel,165000.0,Manual,1,KE,400000,Maruti,10
234,Petrol,45000.0,Manual,2,BI,260000,Maruti,10
235,CNG & HYBRIDS,92000.0,Manual,3,UP,180000,Maruti,9
236,Diesel,91000.0,Manual,2,PJ,185000,Maruti,13
237,Diesel,180000.0,Manual,1,KE,370000,Hyundai,10
238,CNG & HYBRIDS,40000.0,Automatic,2,UP,50000,Maruti,24
239,Diesel,77000.0,Manual,1,KE,700000,Volkswagen,7
240,Diesel,47000.0,Manual,2,WB,365000,Hyundai,6
241,Petrol,28108.0,Manual,2,MH,260000,Maruti,11
242,Petrol,60000.0,Manual,1,DL,220000,Volkswagen,12
243,Petrol,140000.0,Automatic,4,KR,370000,Honda,12
244,Diesel,90000.0,Automatic,1,WB,350000,Tata,11
245,CNG & HYBRIDS,41251.0,Automatic,2,DL,175000,Maruti,4
246,CNG & HYBRIDS,70000.0,Automatic,2,UP,90000,Maruti,9
247,Petrol,83545.0,Automatic,3,TN,300000,Honda,15
248,Petrol,46294.0,Manual,0,OD,40000,Maruti,19
249,CNG & HYBRIDS,149000.0,Manual,1,HR,65000,Maruti,14
250,Petrol,78523.0,Manual,1,AP,65999,Hyundai,11
251,Diesel,82000.0,Manual,2,TN,405000,Mahindra,12
252,Diesel,230000.0,Manual,1,UP,150000,Chevrolet,8
253,Diesel,125000.0,Manual,2,AP,79999,Tata,10
254,Petrol,117000.0,Manual,1,TN,178000,Maruti,18
255,Petrol,25183.0,Manual,1,KE,580000,Maruti,2
256,Petrol,20000.0,Manual,1,MH,911000,Hyundai,4
257,Petrol,55600.0,Manual,2,KR,249000,Tata,10
258,Diesel,160000.0,Manual,1,WB,400000,Maruti,4
259,CNG,120000.0,Manual,2,MH,90000,Honda,17
260,Diesel,99000.0,Automatic,1,KE,2275000,Mercedes,6
261,Petrol,13500.0,Manual,1,TN,825000,Toyota,3
262,Diesel,115000.0,Manual,1,KE,335000,Nissan,6
263,Diesel,135000.0,Manual,2,RJ,1421000,Toyota,9
264,Petrol,44500.0,Manual,1,DL,365000,Honda,6
265,Diesel,145000.0,Automatic,1,KE,1700000,Audi,8
266,Diesel,58000.0,Automatic,1,DL,1200000,Audi,9
267,Diesel,85000.0,Automatic,1,DL,2590000,Ford,5
268,Diesel,48000.0,Manual,1,OD,670000,Mahindra,6
269,Petrol,2600.0,Manual,1,OD,375000,Maruti,7
270,Petrol,59000.0,Manual,1,GU,520000,Ford,7
271,CNG & HYBRIDS,63000.0,Manual,1,DL,335000,Maruti,6
272,Diesel,43000.0,Manual,1,MP,975000,Mahindra,1
273,Diesel,69000.0,Automatic,1,MH,899000,Hyundai,7
274,Petrol,37000.0,Manual,1,MH,845000,Honda,4
275,Diesel,175850.0,Manual,3,TN,239000,Toyota,18
276,Petrol,54000.0,Automatic,1,DL,425000,Hyundai,11
277,Diesel,10000.0,Manual,1,GU,451000,Jeep,0
278,Diesel,120000.0,Manual,2,TN,490000,Skoda,9
279,Diesel,100000.0,Manual,2,MH,240000,Ford,9
280,Diesel,88400.0,Manual,2,UK,230000,Ford,9
281,Petrol,72000.0,Automatic,1,TN,387000,Honda,11
282,Petrol,120000.0,Manual,2,AP,265000,Maruti,9
283,ELECTRIC,15.0,Manual,2,BI,20000,Tata,13
284,Diesel,108000.0,Manual,2,,360000,Hyundai,10
285,Petrol,80000.0,Manual,2,RJ,125000,Maruti,18
286,Petrol,0.0,Manual,1,HY,50192,Maruti,16
287,Petrol,72000.0,Automatic,1,TN,387000,Honda,11
288,Petrol,50000.0,Manual,2,PJ,75000,Chevrolet,14
289,Diesel,150000.0,Manual,4,MH,288000,Mahindra,11
290,Diesel,200000.0,Manual,3,BI,39999,Tata,15
291,Diesel,70000.0,Manual,1,MH,400000,Nissan,7
292,Diesel,59000.0,Manual,1,GU,450000,Honda,7
293,Diesel,10000.0,Manual,2,RJ,1600000,Mahindra,1
294,Diesel,120000.0,Automatic,1,DL,240000,Renault,9
295,CNG & HYBRIDS,100000.0,Manual,3,HR,298000,Volkswagen,10
296,Diesel,75000.0,Manual,1,DL,315000,Honda,9
297,Petrol,92000.0,Manual,2,KE,375000,Maruti,13
298,Petrol,90000.0,Manual,1,PJ,275000,Hyundai,12
299,CNG & HYBRIDS,76000.0,Manual,2,MP,490000,Hyundai,5
300,Diesel,136000.0,Manual,2,AP,230000,Tata,9
301,Diesel,55000.0,Automatic,1,DL,1051000,Mercedes,9
302,Diesel,86000.0,Manual,1,DL,1150000,Mahindra,5
303,Diesel,71000.0,Manual,2,DL,575000,Toyota,9
